kind,name_a,name_b,detail,prices_match,prices_a,prices_b
brand variant,arabiyat presitige,arabiyat prestige,12 rows vs 39 rows,,,
brand variant,caroline herrera,carolina herrera,8 rows vs 3 rows,,,
extra word,Arabiyat Prestige Raaes,Arabiyat Prestige Raaes Aurum,one row adds 'aurum',True,"{'3ml': 120, '5ml': 160, '8ml': 230, '10ml': 290, '20ml': 500, '30ml': 650}","{'3ml': 120, '5ml': 160, '8ml': 230, '10ml': 290, '20ml': 500, '30ml': 650}"
extra word,Arabiyat Prestige Oud Al Layal,Arabiyat Prestige Oud Al Layal Aswad,one row adds 'aswad',True,"{'5ml': 110, '8ml': 140, '10ml': 180}","{'5ml': 110, '8ml': 140, '10ml': 180}"
extra word,Arabiyat Prestige Oud Al Layal,Arabiyat Prestige Oud Al Layal Midnight .,one row adds 'midnight',False,"{'5ml': 110, '8ml': 140, '10ml': 180}","{'5ml': 130, '8ml': 170, '10ml': 210, '20ml': 380, '30ml': 480}"
extra word,Armaf Odyssey Mandarin Sky,Armaf Odyssey Mandarin Sky Vintage,one row adds 'vintage',False,"{'3ml': 130, '5ml': 170, '8ml': 240, '10ml': 300, '20ml': 540, '30ml': 700, '100ml_full': 2050}","{'3ml': 130, '5ml': 180, '8ml': 260, '10ml': 330, '20ml': 580, '30ml': 770}"
extra word,Fragrance Word Royal Blend,Fragrance Word Royal Blend Vintage,one row adds 'vintage',True,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}"
extra word,Fragrance Word Royal Blend,Fragrance Word Royal Blend Nero,one row adds 'nero',True,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}"
extra word,Fragrance Word Royal Blend,Fragrance Word Royal Blend Bourbon,one row adds 'bourbon',True,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}"
extra word,Fragrance Word Royal Blend,Fragrance Word Royal Blend Sequoia,one row adds 'sequoia',False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 340, '30ml': 820}","{'3ml': 140, '5ml': 190, '8ml': 300, '10ml': 370}"
extra word,Fragrance World Proud of You Tobbaco,Fragrance World Proud of You,one row adds 'tobbaco',True,"{'5ml': 130, '8ml': 190, '10ml': 240, '20ml': 420, '30ml': 550}","{'5ml': 130, '8ml': 190, '10ml': 240, '20ml': 420, '30ml': 550}"
spelling variant,Franck Oliver Oud Touch,Frank Oliver Oud Touch,'franck' vs 'frank',False,"{'3ml': 120, '5ml': 170, '8ml': 240, '10ml': 310, '20ml': 540}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 280, '20ml': 520, '30ml': 680}"
spelling variant,Lattafa Fahad,Lattafa Fakhar,'fahad' vs 'fakhar',False,"{'3ml': 180, '5ml': 260, '8ml': 390, '10ml': 490, '20ml': 900}","{'3ml': 130, '5ml': 170, '8ml': 240, '10ml': 300, '20ml': 540, '30ml': 700}"
extra word,Lattafa Khamrah,Lattafa Khamrah Waha,one row adds 'waha',False,"{'3ml': 160, '5ml': 230, '8ml': 330, '10ml': 420, '20ml': 780, '30ml': 1070, '100ml_full': 2950}","{'3ml': 160, '5ml': 230, '8ml': 330, '10ml': 420}"
extra word,Lattafa Ana Abiyedh,Lattafa Ana Abiyedh Rouge,one row adds 'rouge',False,"{'3ml': 140, '5ml': 190, '8ml': 280, '10ml': 360, '60ml_full': 1910}","{'3ml': 140, '5ml': 190, '8ml': 280, '10ml': 360}"
extra word,Lattafa Ana Abiyedh,Lattafa Ana Abiyedh Coral,one row adds 'coral',False,"{'3ml': 140, '5ml': 190, '8ml': 280, '10ml': 360, '60ml_full': 1910}","{'3ml': 150, '5ml': 220, '8ml': 320, '10ml': 400, '20ml': 720}"
spelling variant,Lattafa Bade'e Al Oud Amethyst,Lattafa Bade'e Al Oud Amythyst,'amethyst' vs 'amythyst',False,"{'3ml': 140, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 600, '30ml': 800, '100ml_full': 2550}","{'5ml': 149, '8ml': 219, '10ml': 269, '30ml': 759}"
extra word,Paris Corner Rifaaqat Adorn,Paris Corner Rifaaqat,one row adds 'adorn',False,"{'3ml': 130, '5ml': 180, '8ml': 260, '10ml': 330, '30ml': 550}","{'3ml': 130, '5ml': 180, '8ml': 260, '10ml': 330, '20ml': 600, '30ml': 800}"
spelling variant,Paris Corner Emir Just Bergamot,Paris Corner Emir Just Bergamont,'bergamot' vs 'bergamont',False,"{'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 579, '100ml_full': 1650}","{'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 580}"
spelling variant,Paris Corner Emir Frenetic Deliceuse,Paris Corner Emir Frenetic Delicieuse,'deliceuse' vs 'delicieuse',False,"{'5ml': 150, '8ml': 220, '10ml': 280, '20ml': 480, '30ml': 700}","{'5ml': 150, '8ml': 210, '10ml': 280, '100ml_full': 1650}"
spelling variant,Pendora Scents Classico De Profondo,Pendora Scents Clasico De Profondo,'classico' vs 'clasico',False,"{'5ml': 130, '8ml': 190, '10ml': 240, '20ml': 420, '30ml': 550}","{'5ml': 130, '8ml': 180, '10ml': 240, '20ml': 420, '30ml': 550}"
extra word,Pendora Scents Milano,Pendora Scents Milano Prive,one row adds 'prive',True,"{'5ml': 130, '8ml': 180, '10ml': 240, '20ml': 420, '30ml': 550}","{'5ml': 130, '8ml': 180, '10ml': 240, '20ml': 420, '30ml': 550}"
extra word,Swiss Arabian Shaghaf  Oud,Swiss Arabian Shaghaf Oud Tonka,one row adds 'tonka',False,"{'3ml': 170, '5ml': 230, '8ml': 350, '10ml': 440, '30ml': 1075, '75ml_full': 2950}","{'3ml': 180, '5ml': 280, '8ml': 370, '10ml': 520}"
spelling variant,Swiss Arabian Shaghaf  Oud,Swiss Arabian Shagaf Oud,'shaghaf' vs 'shagaf',False,"{'3ml': 170, '5ml': 230, '8ml': 350, '10ml': 440, '30ml': 1075, '75ml_full': 2950}","{'5ml': 230, '8ml': 350, '10ml': 440}"
spelling variant,Swiss Arabian Shaghaf Oud Tonka,Swiss Arabian Shagaf Oud Tonka,'shaghaf' vs 'shagaf',True,"{'3ml': 180, '5ml': 280, '8ml': 370, '10ml': 520}","{'3ml': 180, '5ml': 280, '8ml': 370, '10ml': 520}"
extra word,Swiss Arabian Shagaf Oud,Swiss Arabian Shagaf Oud Tonka,one row adds 'tonka',False,"{'5ml': 230, '8ml': 350, '10ml': 440}","{'3ml': 180, '5ml': 280, '8ml': 370, '10ml': 520}"
extra word,Givenchy L’Interdit EDP,Givenchy L’Interdit Rouge EDP,one row adds 'rouge',True,"{'3ml': 370, '5ml': 560, '8ml': 880, '10ml': 1090, '20ml': 2060}","{'3ml': 370, '5ml': 560, '8ml': 880, '10ml': 1090, '20ml': 2060}"
